song,artist
Purple Haze’ by Jimi Hendrix,Jimi Hendrix
Whole Lotta Love’ by Led Zeppelin,Led Zeppelin
‘Sympathy for the Devil’ by The Rolling Stones,The Rolling Stones
‘Under Pressure’ by Queen & David Bowie,Queen & David Bowie
‘Baba O’Riley’ by The Who,The Who
‘Comfortably Numb’ by Pink Floyd,Pink Floyd
‘I Love Rock ‘n’ Roll’ by Joan Jett & the Blackhearts,Joan Jett & the Blackhearts
‘Funk #49’ by the James Gang,the James Gang
‘The Boys Are Back in Town’ by Thin Lizzy,Thin Lizzy
‘Iron Man’ by Black Sabbath,Black Sabbath
‘Roadhouse Blues’ by The Doors,The Doors
‘No Sugar Tonight/New Mother Nature’ by the Guess Who,the Guess Who
‘Barracuda’ by Heart,Heart
‘Smoke on the Water’ by Deep Purple,Deep Purple
‘Frankenstein’ by the Edgar Winter Group,the Edgar Winter Group
‘La Grange’ by ZZ Top,ZZ Top
‘American Girl’ by Tom Petty & the Heartbreakers,Tom Petty & the Heartbreakers
‘You Really Got Me’ by The Kinks,The Kinks
‘Charity Ball’ by Fanny,Fanny
‘Rockin’ in the Free World’ by Neil Young,Neil Young
‘Tom Sawyer’ by Rush,Rush
‘Locomotive Breath’ by Jethro Tull,Jethro Tull
‘You Shook Me All Night Long’ by AC/DC,AC/DC
‘(Don’t Fear) the Reaper’ by Blue Oyster Cult,Blue Oyster Cult
‘Evil Ways’ by Santana,Santana
‘Me & Bobby McGee’ by Janis Joplin,Janis Joplin
‘Slow Ride’ by Foghat,Foghat
‘School’s Out’ by Alice Cooper,Alice Cooper
