danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.574,0.734,1,-2.697,1,0.0728,0.241,0.00806,0.0962,0.769,98.023,audio_features,2SbzdGpOKlH3HIAGTWTbwU,spotify:track:2SbzdGpOKlH3HIAGTWTbwU,https://api.spotify.com/v1/tracks/2SbzdGpOKlH3HIAGTWTbwU,https://api.spotify.com/v1/audio-analysis/2SbzdGpOKlH3HIAGTWTbwU,255507,4
0.782,0.767,9,-7.981,0,0.0871,0.266,3.64e-05,0.0947,0.622,88.005,audio_features,6DxS2ZRl8G3EagHkovYXA2,spotify:track:6DxS2ZRl8G3EagHkovYXA2,https://api.spotify.com/v1/tracks/6DxS2ZRl8G3EagHkovYXA2,https://api.spotify.com/v1/audio-analysis/6DxS2ZRl8G3EagHkovYXA2,304091,4
0.739,0.895,7,-5.499,1,0.0519,0.113,0.000557,0.0971,0.785,92.995,audio_features,0VBbbLKnpayQeBKZdYamhi,spotify:track:0VBbbLKnpayQeBKZdYamhi,https://api.spotify.com/v1/tracks/0VBbbLKnpayQeBKZdYamhi,https://api.spotify.com/v1/audio-analysis/0VBbbLKnpayQeBKZdYamhi,198875,4
0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,audio_features,0EhpEsp4L0oRGM0vmeaN5e,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,https://api.spotify.com/v1/tracks/0EhpEsp4L0oRGM0vmeaN5e,https://api.spotify.com/v1/audio-analysis/0EhpEsp4L0oRGM0vmeaN5e,232253,4
0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,audio_features,637bsehtpL2oJruOEL6lZ7,spotify:track:637bsehtpL2oJruOEL6lZ7,https://api.spotify.com/v1/tracks/637bsehtpL2oJruOEL6lZ7,https://api.spotify.com/v1/audio-analysis/637bsehtpL2oJruOEL6lZ7,243413,4
0.686,0.71,1,-7.884,1,0.0731,0.00299,0.000182,0.167,0.846,179.967,audio_features,36Qi2bHMzLMQIHApHFytgv,spotify:track:36Qi2bHMzLMQIHApHFytgv,https://api.spotify.com/v1/tracks/36Qi2bHMzLMQIHApHFytgv,https://api.spotify.com/v1/audio-analysis/36Qi2bHMzLMQIHApHFytgv,172622,4
0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,audio_features,4gzsuuZypVbxs0Af1LSZyB,spotify:track:4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/tracks/4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/audio-analysis/4gzsuuZypVbxs0Af1LSZyB,207301,4
0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,audio_features,6De0lHrwBfPfrhorm9q1Xl,spotify:track:6De0lHrwBfPfrhorm9q1Xl,https://api.spotify.com/v1/tracks/6De0lHrwBfPfrhorm9q1Xl,https://api.spotify.com/v1/audio-analysis/6De0lHrwBfPfrhorm9q1Xl,205715,4
0.837,0.783,7,-5.935,1,0.0921,0.306,9.19e-06,0.215,0.853,97.995,audio_features,3a0nKMqmHDoX1fYdY8ioJ3,spotify:track:3a0nKMqmHDoX1fYdY8ioJ3,https://api.spotify.com/v1/tracks/3a0nKMqmHDoX1fYdY8ioJ3,https://api.spotify.com/v1/audio-analysis/3a0nKMqmHDoX1fYdY8ioJ3,221768,4
0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,audio_features,5YUyW9opqNsMSEzzecZih1,spotify:track:5YUyW9opqNsMSEzzecZih1,https://api.spotify.com/v1/tracks/5YUyW9opqNsMSEzzecZih1,https://api.spotify.com/v1/audio-analysis/5YUyW9opqNsMSEzzecZih1,172854,4
