danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.29,0.769,9,-5.578,0,0.0329,1.44e-05,8.35e-06,0.375,0.198,90.248,audio_features,5IfBLN9VPPJOwcKmAZhdXe,spotify:track:5IfBLN9VPPJOwcKmAZhdXe,https://api.spotify.com/v1/tracks/5IfBLN9VPPJOwcKmAZhdXe,https://api.spotify.com/v1/audio-analysis/5IfBLN9VPPJOwcKmAZhdXe,276867,4
0.302,0.854,2,-6.619,1,0.0757,0.102,1.45e-06,0.0835,0.589,156.278,audio_features,4j3obTRIyR7QzvdeQz9vaO,spotify:track:4j3obTRIyR7QzvdeQz9vaO,https://api.spotify.com/v1/tracks/4j3obTRIyR7QzvdeQz9vaO,https://api.spotify.com/v1/audio-analysis/4j3obTRIyR7QzvdeQz9vaO,244827,4
0.542,0.627,0,-7.105,1,0.0243,0.0794,0.000517,0.277,0.814,89.734,audio_features,4OHVCeQYPncEwZOtNAJZZx,spotify:track:4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/tracks/4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/audio-analysis/4OHVCeQYPncEwZOtNAJZZx,305213,4
0.317,0.571,9,-7.669,1,0.0284,0.158,2.95e-06,0.0848,0.234,163.035,audio_features,0qmCWYu7hOvriyuqXfPw7I,spotify:track:0qmCWYu7hOvriyuqXfPw7I,https://api.spotify.com/v1/tracks/0qmCWYu7hOvriyuqXfPw7I,https://api.spotify.com/v1/audio-analysis/0qmCWYu7hOvriyuqXfPw7I,240120,3
0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,audio_features,57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw,357267,4
0.169,0.858,2,-5.128,1,0.0937,0.000107,0.22,0.849,0.206,122.081,audio_features,7ddgcVSPYmKJwzADuMXoB1,spotify:track:7ddgcVSPYmKJwzADuMXoB1,https://api.spotify.com/v1/tracks/7ddgcVSPYmKJwzADuMXoB1,https://api.spotify.com/v1/audio-analysis/7ddgcVSPYmKJwzADuMXoB1,446247,3
0.136,0.746,6,-7.456,0,0.0818,0.571,1.24e-06,0.319,0.21,174.176,audio_features,4wzA4Reh8WPkXdpFIHOVo0,spotify:track:4wzA4Reh8WPkXdpFIHOVo0,https://api.spotify.com/v1/tracks/4wzA4Reh8WPkXdpFIHOVo0,https://api.spotify.com/v1/audio-analysis/4wzA4Reh8WPkXdpFIHOVo0,259560,4
0.263,0.935,0,-2.289,0,0.0933,0.181,0.013,0.331,0.0688,110.138,audio_features,6CpEUxOlhcynZpIvPY08iv,spotify:track:6CpEUxOlhcynZpIvPY08iv,https://api.spotify.com/v1/tracks/6CpEUxOlhcynZpIvPY08iv,https://api.spotify.com/v1/audio-analysis/6CpEUxOlhcynZpIvPY08iv,327920,4
0.155,0.897,9,-4.016,0,0.0688,3.64e-06,0.907,0.962,0.391,132.355,audio_features,416d71bOQmFO9edQPzhZJY,spotify:track:416d71bOQmFO9edQPzhZJY,https://api.spotify.com/v1/tracks/416d71bOQmFO9edQPzhZJY,https://api.spotify.com/v1/audio-analysis/416d71bOQmFO9edQPzhZJY,347653,3
0.237,0.906,6,-5.124,1,0.0483,0.458,0.0,0.0794,0.26,99.806,audio_features,3Cf6hpnrWfhGA59IK4E8F8,spotify:track:3Cf6hpnrWfhGA59IK4E8F8,https://api.spotify.com/v1/tracks/3Cf6hpnrWfhGA59IK4E8F8,https://api.spotify.com/v1/audio-analysis/3Cf6hpnrWfhGA59IK4E8F8,206333,4
