danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,audio_features,40lKptao1hxVqA7fd1OOGp,spotify:track:40lKptao1hxVqA7fd1OOGp,https://api.spotify.com/v1/tracks/40lKptao1hxVqA7fd1OOGp,https://api.spotify.com/v1/audio-analysis/40lKptao1hxVqA7fd1OOGp,285160,4
0.512,0.114,11,-15.669,1,0.0323,0.955,2.45e-06,0.086,0.264,113.997,audio_features,4FoAnxEdr6oJNcNXzNthE5,spotify:track:4FoAnxEdr6oJNcNXzNthE5,https://api.spotify.com/v1/tracks/4FoAnxEdr6oJNcNXzNthE5,https://api.spotify.com/v1/audio-analysis/4FoAnxEdr6oJNcNXzNthE5,220653,3
0.626,0.913,1,-2.469,1,0.164,0.0866,0.0,0.96,0.553,94.982,audio_features,08nItl9cRcZHOw4RQo7Y5p,spotify:track:08nItl9cRcZHOw4RQo7Y5p,https://api.spotify.com/v1/tracks/08nItl9cRcZHOw4RQo7Y5p,https://api.spotify.com/v1/audio-analysis/08nItl9cRcZHOw4RQo7Y5p,450839,4
0.804,0.649,1,-4.429,1,0.0857,0.0859,0.0,0.112,0.906,91.067,audio_features,5Gfp6euoNJPw5AvSpGZSRZ,spotify:track:5Gfp6euoNJPw5AvSpGZSRZ,https://api.spotify.com/v1/tracks/5Gfp6euoNJPw5AvSpGZSRZ,https://api.spotify.com/v1/audio-analysis/5Gfp6euoNJPw5AvSpGZSRZ,378200,4
0.621,0.974,8,-4.059,1,0.128,0.333,2.85e-06,0.98,0.38,111.995,audio_features,4YwHHPSxA0lz8BCDszV3jF,spotify:track:4YwHHPSxA0lz8BCDszV3jF,https://api.spotify.com/v1/tracks/4YwHHPSxA0lz8BCDszV3jF,https://api.spotify.com/v1/audio-analysis/4YwHHPSxA0lz8BCDszV3jF,437547,4
0.476,0.735,8,-6.893,1,0.0973,0.235,9.9e-05,0.251,0.421,140.036,audio_features,3Mi45B4QZqKfZItHY7poZr,spotify:track:3Mi45B4QZqKfZItHY7poZr,https://api.spotify.com/v1/tracks/3Mi45B4QZqKfZItHY7poZr,https://api.spotify.com/v1/audio-analysis/3Mi45B4QZqKfZItHY7poZr,283021,4
0.632,0.904,5,-3.459,0,0.167,0.0541,0.0,0.314,0.654,96.968,audio_features,1wpwYGKKywLajBa8BiizGq,spotify:track:1wpwYGKKywLajBa8BiizGq,https://api.spotify.com/v1/tracks/1wpwYGKKywLajBa8BiizGq,https://api.spotify.com/v1/audio-analysis/1wpwYGKKywLajBa8BiizGq,291973,4
0.404,0.246,11,-13.812,1,0.041,0.94,3e-05,0.297,0.281,71.274,audio_features,1Vzr9AOdHw65UHoK1Vuxls,spotify:track:1Vzr9AOdHw65UHoK1Vuxls,https://api.spotify.com/v1/tracks/1Vzr9AOdHw65UHoK1Vuxls,https://api.spotify.com/v1/audio-analysis/1Vzr9AOdHw65UHoK1Vuxls,143267,4
0.338,0.559,0,-7.053,1,0.118,0.252,0.0,0.38,0.276,168.489,audio_features,3QdBvvYJ9k1CES1e9aYvaA,spotify:track:3QdBvvYJ9k1CES1e9aYvaA,https://api.spotify.com/v1/tracks/3QdBvvYJ9k1CES1e9aYvaA,https://api.spotify.com/v1/audio-analysis/3QdBvvYJ9k1CES1e9aYvaA,415133,4
0.457,0.555,2,-7.316,1,0.0778,0.269,0.0,0.287,0.223,117.83,audio_features,0otge6MnYrkqDVUCygofw1,spotify:track:0otge6MnYrkqDVUCygofw1,https://api.spotify.com/v1/tracks/0otge6MnYrkqDVUCygofw1,https://api.spotify.com/v1/audio-analysis/0otge6MnYrkqDVUCygofw1,474067,4
0.396,0.128,2,-17.635,1,0.0509,0.93,0.0,0.558,0.214,97.359,audio_features,7tsgI0shJkSZfHCvhijsum,spotify:track:7tsgI0shJkSZfHCvhijsum,https://api.spotify.com/v1/tracks/7tsgI0shJkSZfHCvhijsum,https://api.spotify.com/v1/audio-analysis/7tsgI0shJkSZfHCvhijsum,290373,4
0.557,0.746,8,-6.783,1,0.0306,0.0144,0.0,0.252,0.327,103.492,audio_features,0nSrUpDjFouhaQB7dOi0h7,spotify:track:0nSrUpDjFouhaQB7dOi0h7,https://api.spotify.com/v1/tracks/0nSrUpDjFouhaQB7dOi0h7,https://api.spotify.com/v1/audio-analysis/0nSrUpDjFouhaQB7dOi0h7,441547,4
0.5,0.319,4,-15.735,1,0.039,0.497,0.0,0.101,0.646,177.489,audio_features,31vF1iGX0S3Dtv0rQfEksJ,spotify:track:31vF1iGX0S3Dtv0rQfEksJ,https://api.spotify.com/v1/tracks/31vF1iGX0S3Dtv0rQfEksJ,https://api.spotify.com/v1/audio-analysis/31vF1iGX0S3Dtv0rQfEksJ,142907,3
