danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.569,0.707,2,-6.736,1,0.315,0.0179,0.0,0.0948,0.516,140.4,audio_features,46h7yzNgZQNuyn5BwBHQeS,spotify:track:46h7yzNgZQNuyn5BwBHQeS,https://api.spotify.com/v1/tracks/46h7yzNgZQNuyn5BwBHQeS,https://api.spotify.com/v1/audio-analysis/46h7yzNgZQNuyn5BwBHQeS,170307,4
0.468,0.779,11,-6.625,0,0.382,0.085,0.000235,0.553,0.735,84.458,audio_features,4d7EzLODiMp4Cuf6tRxn7s,spotify:track:4d7EzLODiMp4Cuf6tRxn7s,https://api.spotify.com/v1/tracks/4d7EzLODiMp4Cuf6tRxn7s,https://api.spotify.com/v1/audio-analysis/4d7EzLODiMp4Cuf6tRxn7s,248107,5
0.556,0.822,9,-5.747,1,0.183,0.0539,0.854,0.177,0.808,139.726,audio_features,0RwSkUIgsowQ6MU1NNVSA7,spotify:track:0RwSkUIgsowQ6MU1NNVSA7,https://api.spotify.com/v1/tracks/0RwSkUIgsowQ6MU1NNVSA7,https://api.spotify.com/v1/audio-analysis/0RwSkUIgsowQ6MU1NNVSA7,222021,4
0.821,0.904,1,-3.403,1,0.334,0.206,0.0,0.215,0.808,139.986,audio_features,545wdZdz8ZtOxoW2qXL7sl,spotify:track:545wdZdz8ZtOxoW2qXL7sl,https://api.spotify.com/v1/tracks/545wdZdz8ZtOxoW2qXL7sl,https://api.spotify.com/v1/audio-analysis/545wdZdz8ZtOxoW2qXL7sl,239640,4
0.929,0.836,0,-6.833,1,0.277,0.233,0.0,0.111,0.815,137.069,audio_features,1rkC5w0JvpEnXExoWwfbDo,spotify:track:1rkC5w0JvpEnXExoWwfbDo,https://api.spotify.com/v1/tracks/1rkC5w0JvpEnXExoWwfbDo,https://api.spotify.com/v1/audio-analysis/1rkC5w0JvpEnXExoWwfbDo,199560,4
0.57,0.891,2,-5.113,1,0.265,0.355,0.0,0.106,0.711,136.918,audio_features,1Q19g6D3KzRoQxBKwaO6d8,spotify:track:1Q19g6D3KzRoQxBKwaO6d8,https://api.spotify.com/v1/tracks/1Q19g6D3KzRoQxBKwaO6d8,https://api.spotify.com/v1/audio-analysis/1Q19g6D3KzRoQxBKwaO6d8,190027,4
0.535,0.771,1,-8.135,1,0.393,0.00389,0.0,0.37,0.487,137.766,audio_features,37uFAVNwaRF7XUdByyJyNN,spotify:track:37uFAVNwaRF7XUdByyJyNN,https://api.spotify.com/v1/tracks/37uFAVNwaRF7XUdByyJyNN,https://api.spotify.com/v1/audio-analysis/37uFAVNwaRF7XUdByyJyNN,181520,4
0.707,0.88,1,-5.492,0,0.274,0.0471,0.0,0.17,0.637,129.942,audio_features,5PDXKhyqyCOIEx2MHpkeBn,spotify:track:5PDXKhyqyCOIEx2MHpkeBn,https://api.spotify.com/v1/tracks/5PDXKhyqyCOIEx2MHpkeBn,https://api.spotify.com/v1/audio-analysis/5PDXKhyqyCOIEx2MHpkeBn,213387,4
0.561,0.635,11,-8.482,1,0.353,0.0446,0.0,0.217,0.7,49.656,audio_features,4UYESIKtM26pOgH3E9Dcgh,spotify:track:4UYESIKtM26pOgH3E9Dcgh,https://api.spotify.com/v1/tracks/4UYESIKtM26pOgH3E9Dcgh,https://api.spotify.com/v1/audio-analysis/4UYESIKtM26pOgH3E9Dcgh,192213,3
0.736,0.914,7,-3.707,1,0.285,0.318,0.0,0.0447,0.932,136.068,audio_features,4OGZ8hbvwe6FsEzdh16vxj,spotify:track:4OGZ8hbvwe6FsEzdh16vxj,https://api.spotify.com/v1/tracks/4OGZ8hbvwe6FsEzdh16vxj,https://api.spotify.com/v1/audio-analysis/4OGZ8hbvwe6FsEzdh16vxj,245080,4
