danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.553,0.58,5,-7.631,1,0.026,0.199,0.000704,0.105,0.519,78.018,audio_features,3tYxKAyobf4vuLx7smDgO7,spotify:track:3tYxKAyobf4vuLx7smDgO7,https://api.spotify.com/v1/tracks/3tYxKAyobf4vuLx7smDgO7,https://api.spotify.com/v1/audio-analysis/3tYxKAyobf4vuLx7smDgO7,219000,3
0.67,0.496,2,-11.23,1,0.0277,0.627,0.00319,0.0584,0.427,100.17,audio_features,4sDbdBjuYQVdNNB4PiHUPo,spotify:track:4sDbdBjuYQVdNNB4PiHUPo,https://api.spotify.com/v1/tracks/4sDbdBjuYQVdNNB4PiHUPo,https://api.spotify.com/v1/audio-analysis/4sDbdBjuYQVdNNB4PiHUPo,233973,4
0.579,0.325,0,-9.835,1,0.0284,0.721,2.24e-06,0.403,0.428,79.985,audio_features,2wOQdQ3cXCPARPHwOF4UqZ,spotify:track:2wOQdQ3cXCPARPHwOF4UqZ,https://api.spotify.com/v1/tracks/2wOQdQ3cXCPARPHwOF4UqZ,https://api.spotify.com/v1/audio-analysis/2wOQdQ3cXCPARPHwOF4UqZ,253670,4
0.244,0.333,0,-12.67,1,0.036,0.889,0.0552,0.0821,0.256,171.176,audio_features,72jCfaysKejfSmAF001IZ0,spotify:track:72jCfaysKejfSmAF001IZ0,https://api.spotify.com/v1/tracks/72jCfaysKejfSmAF001IZ0,https://api.spotify.com/v1/audio-analysis/72jCfaysKejfSmAF001IZ0,192000,4
0.277,0.292,11,-12.961,1,0.0292,0.608,0.0,0.103,0.109,133.772,audio_features,3bUecZtcTutQQtieCoXzgx,spotify:track:3bUecZtcTutQQtieCoXzgx,https://api.spotify.com/v1/tracks/3bUecZtcTutQQtieCoXzgx,https://api.spotify.com/v1/audio-analysis/3bUecZtcTutQQtieCoXzgx,301173,4
0.633,0.257,6,-14.705,1,0.0272,0.925,0.242,0.0986,0.429,97.093,audio_features,7JmAmtToAPb0utPIF2l0aT,spotify:track:7JmAmtToAPb0utPIF2l0aT,https://api.spotify.com/v1/tracks/7JmAmtToAPb0utPIF2l0aT,https://api.spotify.com/v1/audio-analysis/7JmAmtToAPb0utPIF2l0aT,187773,4
0.46,0.284,0,-13.413,1,0.0279,0.93,0.00438,0.138,0.366,94.531,audio_features,6LM54uQMY6h7SevTK5P081,spotify:track:6LM54uQMY6h7SevTK5P081,https://api.spotify.com/v1/tracks/6LM54uQMY6h7SevTK5P081,https://api.spotify.com/v1/audio-analysis/6LM54uQMY6h7SevTK5P081,227763,4
0.661,0.491,2,-16.241,1,0.0411,0.491,0.648,0.133,0.218,93.956,audio_features,3LyIVfL6nJDAJIiEQCu3iM,spotify:track:3LyIVfL6nJDAJIiEQCu3iM,https://api.spotify.com/v1/tracks/3LyIVfL6nJDAJIiEQCu3iM,https://api.spotify.com/v1/audio-analysis/3LyIVfL6nJDAJIiEQCu3iM,213511,4
0.36,0.223,2,-19.5,1,0.0337,0.841,0.727,0.0947,0.0519,99.75,audio_features,0KalsY81HsAAVUxZy9qUFz,spotify:track:0KalsY81HsAAVUxZy9qUFz,https://api.spotify.com/v1/tracks/0KalsY81HsAAVUxZy9qUFz,https://api.spotify.com/v1/audio-analysis/0KalsY81HsAAVUxZy9qUFz,231925,4
0.615,0.42,6,-11.019,0,0.031,0.69,0.000431,0.0953,0.323,76.047,audio_features,0TK8SoeO0GVmUV1060bA4T,spotify:track:0TK8SoeO0GVmUV1060bA4T,https://api.spotify.com/v1/tracks/0TK8SoeO0GVmUV1060bA4T,https://api.spotify.com/v1/audio-analysis/0TK8SoeO0GVmUV1060bA4T,231893,4
0.574,0.452,8,-10.19,1,0.0315,0.954,0.785,0.111,0.295,115.878,audio_features,1KtnxWC7iZ7OylHH1dcUhZ,spotify:track:1KtnxWC7iZ7OylHH1dcUhZ,https://api.spotify.com/v1/tracks/1KtnxWC7iZ7OylHH1dcUhZ,https://api.spotify.com/v1/audio-analysis/1KtnxWC7iZ7OylHH1dcUhZ,226000,4
0.636,0.283,3,-12.356,1,0.0333,0.886,1.44e-05,0.0989,0.594,113.885,audio_features,5hHuux42yF2Wedmm1hX09V,spotify:track:5hHuux42yF2Wedmm1hX09V,https://api.spotify.com/v1/tracks/5hHuux42yF2Wedmm1hX09V,https://api.spotify.com/v1/audio-analysis/5hHuux42yF2Wedmm1hX09V,228211,5
0.493,0.284,2,-12.815,1,0.0309,0.953,0.00739,0.151,0.199,79.959,audio_features,2VvTMIXG760UiG9OSiFt9j,spotify:track:2VvTMIXG760UiG9OSiFt9j,https://api.spotify.com/v1/tracks/2VvTMIXG760UiG9OSiFt9j,https://api.spotify.com/v1/audio-analysis/2VvTMIXG760UiG9OSiFt9j,216000,4
0.256,0.365,1,-13.588,1,0.0287,0.678,0.0505,0.114,0.162,159.93,audio_features,4fGgmcD5Ke4I4ZfJ1hZeiW,spotify:track:4fGgmcD5Ke4I4ZfJ1hZeiW,https://api.spotify.com/v1/tracks/4fGgmcD5Ke4I4ZfJ1hZeiW,https://api.spotify.com/v1/audio-analysis/4fGgmcD5Ke4I4ZfJ1hZeiW,249467,3
0.554,0.232,0,-16.078,1,0.0355,0.965,0.525,0.105,0.0772,149.867,audio_features,6GgWI2t7G0bgUzVoZDlM6R,spotify:track:6GgWI2t7G0bgUzVoZDlM6R,https://api.spotify.com/v1/tracks/6GgWI2t7G0bgUzVoZDlM6R,https://api.spotify.com/v1/audio-analysis/6GgWI2t7G0bgUzVoZDlM6R,161587,4
0.527,0.631,11,-8.578,1,0.0286,0.00315,0.777,0.0844,0.419,113.026,audio_features,2MhqicchjpgjkE1HSu522W,spotify:track:2MhqicchjpgjkE1HSu522W,https://api.spotify.com/v1/tracks/2MhqicchjpgjkE1HSu522W,https://api.spotify.com/v1/audio-analysis/2MhqicchjpgjkE1HSu522W,264425,4
0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,audio_features,6VwAh8Z1d5YKoSWoEaV4db,spotify:track:6VwAh8Z1d5YKoSWoEaV4db,https://api.spotify.com/v1/tracks/6VwAh8Z1d5YKoSWoEaV4db,https://api.spotify.com/v1/audio-analysis/6VwAh8Z1d5YKoSWoEaV4db,159600,4
0.378,0.52,11,-10.965,1,0.0382,0.777,0.0888,0.0979,0.357,73.744,audio_features,2Dzhwe90lhHXVU6lk7Nx0H,spotify:track:2Dzhwe90lhHXVU6lk7Nx0H,https://api.spotify.com/v1/tracks/2Dzhwe90lhHXVU6lk7Nx0H,https://api.spotify.com/v1/audio-analysis/2Dzhwe90lhHXVU6lk7Nx0H,226640,4
0.402,0.414,9,-12.696,1,0.0272,0.935,0.0156,0.102,0.327,84.002,audio_features,2BadLekL4fUfGsxh74Yey8,spotify:track:2BadLekL4fUfGsxh74Yey8,https://api.spotify.com/v1/tracks/2BadLekL4fUfGsxh74Yey8,https://api.spotify.com/v1/audio-analysis/2BadLekL4fUfGsxh74Yey8,215686,4
0.467,0.276,3,-14.288,1,0.0412,0.702,0.148,0.12,0.222,97.071,audio_features,2WMF5i6ClS9GEeM34MHEji,spotify:track:2WMF5i6ClS9GEeM34MHEji,https://api.spotify.com/v1/tracks/2WMF5i6ClS9GEeM34MHEji,https://api.spotify.com/v1/audio-analysis/2WMF5i6ClS9GEeM34MHEji,215413,4
0.488,0.521,2,-10.291,1,0.0375,0.169,0.00612,0.239,0.237,95.225,audio_features,7n8i1D8pQ6DqaO72YJ3Fo5,spotify:track:7n8i1D8pQ6DqaO72YJ3Fo5,https://api.spotify.com/v1/tracks/7n8i1D8pQ6DqaO72YJ3Fo5,https://api.spotify.com/v1/audio-analysis/7n8i1D8pQ6DqaO72YJ3Fo5,192358,4
0.566,0.657,2,-6.146,1,0.0314,0.438,1.49e-05,0.0926,0.383,125.19,audio_features,3EapLR52jlyZQThOthMqpa,spotify:track:3EapLR52jlyZQThOthMqpa,https://api.spotify.com/v1/tracks/3EapLR52jlyZQThOthMqpa,https://api.spotify.com/v1/audio-analysis/3EapLR52jlyZQThOthMqpa,197933,4
0.365,0.264,9,-14.046,1,0.0299,0.898,0.861,0.119,0.187,84.756,audio_features,1gWCDz6hrwwqF8mXAqywwG,spotify:track:1gWCDz6hrwwqF8mXAqywwG,https://api.spotify.com/v1/tracks/1gWCDz6hrwwqF8mXAqywwG,https://api.spotify.com/v1/audio-analysis/1gWCDz6hrwwqF8mXAqywwG,225357,4
0.573,0.153,4,-17.318,1,0.0341,0.9,0.00166,0.117,0.231,147.963,audio_features,2YED9VicGdL1YlRW0T16oN,spotify:track:2YED9VicGdL1YlRW0T16oN,https://api.spotify.com/v1/tracks/2YED9VicGdL1YlRW0T16oN,https://api.spotify.com/v1/audio-analysis/2YED9VicGdL1YlRW0T16oN,208906,4
0.686,0.531,8,-12.173,1,0.0801,0.531,0.00755,0.107,0.268,99.02,audio_features,0pqnNiTcSnMh09MD7nFt76,spotify:track:0pqnNiTcSnMh09MD7nFt76,https://api.spotify.com/v1/tracks/0pqnNiTcSnMh09MD7nFt76,https://api.spotify.com/v1/audio-analysis/0pqnNiTcSnMh09MD7nFt76,195324,4
0.548,0.3,4,-12.71,1,0.0298,0.757,9.28e-06,0.0851,0.264,135.902,audio_features,3SxMBVdL2gxhX5V5dXF9jy,spotify:track:3SxMBVdL2gxhX5V5dXF9jy,https://api.spotify.com/v1/tracks/3SxMBVdL2gxhX5V5dXF9jy,https://api.spotify.com/v1/audio-analysis/3SxMBVdL2gxhX5V5dXF9jy,225400,4
0.651,0.132,2,-13.639,1,0.0382,0.85,0.00161,0.0871,0.294,142.086,audio_features,1MlbQf2LPIHAdr9LU35IAC,spotify:track:1MlbQf2LPIHAdr9LU35IAC,https://api.spotify.com/v1/tracks/1MlbQf2LPIHAdr9LU35IAC,https://api.spotify.com/v1/audio-analysis/1MlbQf2LPIHAdr9LU35IAC,196640,4
0.413,0.272,1,-11.568,1,0.0317,0.945,0.0271,0.112,0.354,109.687,audio_features,4BrGYhbT975hwXXPBUqXNY,spotify:track:4BrGYhbT975hwXXPBUqXNY,https://api.spotify.com/v1/tracks/4BrGYhbT975hwXXPBUqXNY,https://api.spotify.com/v1/audio-analysis/4BrGYhbT975hwXXPBUqXNY,211882,4
