danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.54,0.706,9,-5.235,1,0.0543,0.0171,0.0,0.225,0.385,172.021,audio_features,5QAFzRLb7T4MFeOJWOQPUg,spotify:track:5QAFzRLb7T4MFeOJWOQPUg,https://api.spotify.com/v1/tracks/5QAFzRLb7T4MFeOJWOQPUg,https://api.spotify.com/v1/audio-analysis/5QAFzRLb7T4MFeOJWOQPUg,282027,4
0.526,0.86,8,-3.37,1,0.027,0.0406,0.0,0.129,0.403,91.955,audio_features,1OBAWkIciXl8rmbKtrp9ZG,spotify:track:1OBAWkIciXl8rmbKtrp9ZG,https://api.spotify.com/v1/tracks/1OBAWkIciXl8rmbKtrp9ZG,https://api.spotify.com/v1/audio-analysis/1OBAWkIciXl8rmbKtrp9ZG,326440,4
0.599,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,audio_features,172fMG26G2OoEzzg0wn26r,spotify:track:172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/tracks/172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/audio-analysis/172fMG26G2OoEzzg0wn26r,276373,4
0.596,0.596,5,-5.62,1,0.0323,0.0155,0.0,0.104,0.508,82.049,audio_features,6gupaCCSG0RAuJ7gk9lIfy,spotify:track:6gupaCCSG0RAuJ7gk9lIfy,https://api.spotify.com/v1/tracks/6gupaCCSG0RAuJ7gk9lIfy,https://api.spotify.com/v1/audio-analysis/6gupaCCSG0RAuJ7gk9lIfy,281067,4
0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,audio_features,0qMip0B2D4ePEjBJvAtYre,spotify:track:0qMip0B2D4ePEjBJvAtYre,https://api.spotify.com/v1/tracks/0qMip0B2D4ePEjBJvAtYre,https://api.spotify.com/v1/audio-analysis/0qMip0B2D4ePEjBJvAtYre,237587,4
0.541,0.8,6,-3.687,1,0.0382,0.0442,0.0,0.398,0.56,129.939,audio_features,43MGiVpukiSOnm7RdltAtZ,spotify:track:43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/tracks/43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/audio-analysis/43MGiVpukiSOnm7RdltAtZ,299164,4
0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,audio_features,278JqkBGkjDovOYAwE8TW7,spotify:track:278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,324633,4
0.564,0.765,0,-5.484,0,0.0328,0.00175,0.0,0.332,0.353,124.013,audio_features,2Hf4Sanxd3qxDYZJXIeygh,spotify:track:2Hf4Sanxd3qxDYZJXIeygh,https://api.spotify.com/v1/tracks/2Hf4Sanxd3qxDYZJXIeygh,https://api.spotify.com/v1/audio-analysis/2Hf4Sanxd3qxDYZJXIeygh,301060,4
0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,audio_features,0jWVUKsIoyo3zw64RaEWYg,spotify:track:0jWVUKsIoyo3zw64RaEWYg,https://api.spotify.com/v1/tracks/0jWVUKsIoyo3zw64RaEWYg,https://api.spotify.com/v1/audio-analysis/0jWVUKsIoyo3zw64RaEWYg,306627,4
0.593,0.603,1,-6.479,1,0.212,0.183,0.0,0.115,0.818,172.022,audio_features,1SbEt51pN80q1cphFOqIPL,spotify:track:1SbEt51pN80q1cphFOqIPL,https://api.spotify.com/v1/tracks/1SbEt51pN80q1cphFOqIPL,https://api.spotify.com/v1/audio-analysis/1SbEt51pN80q1cphFOqIPL,184185,4
0.567,0.937,2,-3.194,1,0.0705,0.0763,0.0,0.326,0.787,149.92,audio_features,6MbYvQMHFhsN2CFJm8HJJC,spotify:track:6MbYvQMHFhsN2CFJm8HJJC,https://api.spotify.com/v1/tracks/6MbYvQMHFhsN2CFJm8HJJC,https://api.spotify.com/v1/audio-analysis/6MbYvQMHFhsN2CFJm8HJJC,201867,4
0.511,0.502,7,-4.953,1,0.0355,0.683,0.0,0.107,0.254,146.604,audio_features,2AVbKUuvvzbPK6NIZZZvcY,spotify:track:2AVbKUuvvzbPK6NIZZZvcY,https://api.spotify.com/v1/tracks/2AVbKUuvvzbPK6NIZZZvcY,https://api.spotify.com/v1/audio-analysis/2AVbKUuvvzbPK6NIZZZvcY,316453,4
0.534,0.642,2,-5.568,1,0.0372,0.523,0.0,0.39,0.443,155.921,audio_features,55Ww4Pa1iIQMhh0MLMetjo,spotify:track:55Ww4Pa1iIQMhh0MLMetjo,https://api.spotify.com/v1/tracks/55Ww4Pa1iIQMhh0MLMetjo,https://api.spotify.com/v1/audio-analysis/55Ww4Pa1iIQMhh0MLMetjo,223640,4
0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041,audio_features,3dPtXHP0oXQ4HCWHsOA9js,spotify:track:3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/tracks/3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/audio-analysis/3dPtXHP0oXQ4HCWHsOA9js,261013,4
0.498,0.92,0,-3.546,1,0.109,0.0676,0.0,0.342,0.702,114.903,audio_features,7wnOPAiqvIG4dTvEInj0YT,spotify:track:7wnOPAiqvIG4dTvEInj0YT,https://api.spotify.com/v1/tracks/7wnOPAiqvIG4dTvEInj0YT,https://api.spotify.com/v1/audio-analysis/7wnOPAiqvIG4dTvEInj0YT,189080,4
0.529,0.931,4,-1.538,1,0.0581,0.00955,0.0,0.465,0.695,92.466,audio_features,64yajM6CxtLghmgB53VeXT,spotify:track:64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/tracks/64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/audio-analysis/64yajM6CxtLghmgB53VeXT,212547,4
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
0.579,0.945,8,-1.669,1,0.0474,0.303,0.0,0.318,0.577,120.055,audio_features,5KQUugWVoDTgHXSN7UU5Qb,spotify:track:5KQUugWVoDTgHXSN7UU5Qb,https://api.spotify.com/v1/tracks/5KQUugWVoDTgHXSN7UU5Qb,https://api.spotify.com/v1/audio-analysis/5KQUugWVoDTgHXSN7UU5Qb,182853,4
0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,audio_features,6IO5nn84TKArsi3cjpIqaD,spotify:track:6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/tracks/6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/audio-analysis/6IO5nn84TKArsi3cjpIqaD,242067,4
0.475,0.841,1,-2.94,1,0.0446,0.0711,0.0,0.357,0.469,79.936,audio_features,5vsM9UppL2iTgOfenMB6Gz,spotify:track:5vsM9UppL2iTgOfenMB6Gz,https://api.spotify.com/v1/tracks/5vsM9UppL2iTgOfenMB6Gz,https://api.spotify.com/v1/audio-analysis/5vsM9UppL2iTgOfenMB6Gz,260893,4
0.592,0.672,9,-2.447,1,0.0294,0.261,0.0,0.109,0.523,106.948,audio_features,5FlrZFMrD9LCJ9vNzZBETY,spotify:track:5FlrZFMrD9LCJ9vNzZBETY,https://api.spotify.com/v1/tracks/5FlrZFMrD9LCJ9vNzZBETY,https://api.spotify.com/v1/audio-analysis/5FlrZFMrD9LCJ9vNzZBETY,326867,4
0.661,0.446,4,-6.808,1,0.046,0.696,0.0,0.0761,0.46,89.961,audio_features,53maoOKr6j04iqk6qjdvQN,spotify:track:53maoOKr6j04iqk6qjdvQN,https://api.spotify.com/v1/tracks/53maoOKr6j04iqk6qjdvQN,https://api.spotify.com/v1/audio-analysis/53maoOKr6j04iqk6qjdvQN,240120,4
0.85,0.34,3,-7.37,1,0.042,0.824,0.0,0.0882,0.774,121.759,audio_features,786dSB84yrSaICJwCT7VxP,spotify:track:786dSB84yrSaICJwCT7VxP,https://api.spotify.com/v1/tracks/786dSB84yrSaICJwCT7VxP,https://api.spotify.com/v1/audio-analysis/786dSB84yrSaICJwCT7VxP,255227,4
0.609,0.869,1,-5.129,1,0.0422,0.00864,0.0,0.283,0.626,154.024,audio_features,6SzML1m0wK3edW6RbH3oxT,spotify:track:6SzML1m0wK3edW6RbH3oxT,https://api.spotify.com/v1/tracks/6SzML1m0wK3edW6RbH3oxT,https://api.spotify.com/v1/audio-analysis/6SzML1m0wK3edW6RbH3oxT,256132,4
0.436,0.705,7,-3.808,1,0.0538,0.0151,0.0,0.142,0.439,159.972,audio_features,27VzBf5TfcPrhoylqxQ46v,spotify:track:27VzBf5TfcPrhoylqxQ46v,https://api.spotify.com/v1/tracks/27VzBf5TfcPrhoylqxQ46v,https://api.spotify.com/v1/audio-analysis/27VzBf5TfcPrhoylqxQ46v,321760,4
0.422,0.969,7,-0.824,1,0.0591,0.00585,0.0,0.533,0.496,92.524,audio_features,7tGDXCPLpAScEwmqab9YZd,spotify:track:7tGDXCPLpAScEwmqab9YZd,https://api.spotify.com/v1/tracks/7tGDXCPLpAScEwmqab9YZd,https://api.spotify.com/v1/audio-analysis/7tGDXCPLpAScEwmqab9YZd,223187,4
0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,audio_features,3wJHCry960drNlAUGrJLmz,spotify:track:3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,198971,4
0.66,0.722,7,-3.525,1,0.0344,0.163,0.0,0.306,0.425,90.116,audio_features,10mmoWFRBG9mlLekSWYzWT,spotify:track:10mmoWFRBG9mlLekSWYzWT,https://api.spotify.com/v1/tracks/10mmoWFRBG9mlLekSWYzWT,https://api.spotify.com/v1/audio-analysis/10mmoWFRBG9mlLekSWYzWT,240547,4
