danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.457,0.219,8,-15.325,0,0.0385,0.545,0.00098,0.0681,0.62,168.55,audio_features,5p6me2mwQrGfH30eExHn6v,spotify:track:5p6me2mwQrGfH30eExHn6v,https://api.spotify.com/v1/tracks/5p6me2mwQrGfH30eExHn6v,https://api.spotify.com/v1/audio-analysis/5p6me2mwQrGfH30eExHn6v,323067,5
0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759,audio_features,4vLYewWIvqHfKtJDk8c8tq,spotify:track:4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/tracks/4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/audio-analysis/4vLYewWIvqHfKtJDk8c8tq,562640,4
0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648,audio_features,1wl5b2lw3YagQtZiYZbQWP,spotify:track:1wl5b2lw3YagQtZiYZbQWP,https://api.spotify.com/v1/tracks/1wl5b2lw3YagQtZiYZbQWP,https://api.spotify.com/v1/audio-analysis/1wl5b2lw3YagQtZiYZbQWP,193840,4
0.28,0.214,4,-19.244,1,0.0309,0.702,0.446,0.112,0.226,175.028,audio_features,6oVY50pmdXqLNVeK8bzomn,spotify:track:6oVY50pmdXqLNVeK8bzomn,https://api.spotify.com/v1/tracks/6oVY50pmdXqLNVeK8bzomn,https://api.spotify.com/v1/audio-analysis/6oVY50pmdXqLNVeK8bzomn,826000,3
0.499,0.149,0,-18.305,1,0.0314,0.771,0.00469,0.115,0.363,139.815,audio_features,5o3DSHw1ORhM3lWxqGRvEf,spotify:track:5o3DSHw1ORhM3lWxqGRvEf,https://api.spotify.com/v1/tracks/5o3DSHw1ORhM3lWxqGRvEf,https://api.spotify.com/v1/audio-analysis/5o3DSHw1ORhM3lWxqGRvEf,692747,3
0.589,0.532,0,-12.021,1,0.0359,0.434,0.00157,0.0794,0.527,156.868,audio_features,19vVghIuHm3IAfN4xpRF3q,spotify:track:19vVghIuHm3IAfN4xpRF3q,https://api.spotify.com/v1/tracks/19vVghIuHm3IAfN4xpRF3q,https://api.spotify.com/v1/audio-analysis/19vVghIuHm3IAfN4xpRF3q,356760,4
0.62,0.67,2,-11.575,0,0.0591,0.853,0.896,0.156,0.295,113.492,audio_features,5L8ta4ECl5zeA6bGqY7G38,spotify:track:5L8ta4ECl5zeA6bGqY7G38,https://api.spotify.com/v1/tracks/5L8ta4ECl5zeA6bGqY7G38,https://api.spotify.com/v1/audio-analysis/5L8ta4ECl5zeA6bGqY7G38,520293,4
0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,audio_features,1CTex49P0iWwzUGsMNjgaV,spotify:track:1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/tracks/1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/audio-analysis/1CTex49P0iWwzUGsMNjgaV,192867,1
0.431,0.491,0,-10.746,0,0.0562,0.441,0.000458,0.134,0.577,148.243,audio_features,0gCKwy3YmhKc9rzjYjTQKx,spotify:track:0gCKwy3YmhKc9rzjYjTQKx,https://api.spotify.com/v1/tracks/0gCKwy3YmhKc9rzjYjTQKx,https://api.spotify.com/v1/audio-analysis/0gCKwy3YmhKc9rzjYjTQKx,283440,4
0.585,0.387,7,-12.666,0,0.0398,0.815,0.182,0.112,0.442,113.298,audio_features,3cYHFvUYDVY9loQQ0LalJc,spotify:track:3cYHFvUYDVY9loQQ0LalJc,https://api.spotify.com/v1/tracks/3cYHFvUYDVY9loQQ0LalJc,https://api.spotify.com/v1/audio-analysis/3cYHFvUYDVY9loQQ0LalJc,403693,4
