danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.687,0.745,6,-4.432,1,0.0379,0.178,1.59e-05,0.111,0.435,129.966,audio_features,1GEBsLDvJGw7kviySRI6GX,spotify:track:1GEBsLDvJGw7kviySRI6GX,https://api.spotify.com/v1/tracks/1GEBsLDvJGw7kviySRI6GX,https://api.spotify.com/v1/audio-analysis/1GEBsLDvJGw7kviySRI6GX,232120,4
0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,audio_features,3fqwjXwUGN6vbzIwvyFMhx,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,293293,4
0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,audio_features,1D4PL9B8gOg78jiHg3FvBb,spotify:track:1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/tracks/1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/audio-analysis/1D4PL9B8gOg78jiHg3FvBb,236267,4
0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,audio_features,10M2Ex445zw585Ducldzkw,spotify:track:10M2Ex445zw585Ducldzkw,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,https://api.spotify.com/v1/audio-analysis/10M2Ex445zw585Ducldzkw,224853,4
0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.006,audio_features,1HXy5I3HTWq8OvxCn0z7G7,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/tracks/1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7,179507,4
0.704,0.818,3,-5.907,0,0.0518,0.0731,0.102,0.272,0.644,124.969,audio_features,3tEaG6sQONXxHNdiPo7gni,spotify:track:3tEaG6sQONXxHNdiPo7gni,https://api.spotify.com/v1/tracks/3tEaG6sQONXxHNdiPo7gni,https://api.spotify.com/v1/audio-analysis/3tEaG6sQONXxHNdiPo7gni,160800,4
0.38,0.43,9,-12.564,1,0.0288,0.546,1.71e-05,0.188,0.547,82.204,audio_features,1QbOvACeYanja5pbnJbAmk,spotify:track:1QbOvACeYanja5pbnJbAmk,https://api.spotify.com/v1/tracks/1QbOvACeYanja5pbnJbAmk,https://api.spotify.com/v1/audio-analysis/1QbOvACeYanja5pbnJbAmk,197813,4
0.535,0.661,9,-7.139,1,0.0304,0.46,0.0,0.142,0.596,148.121,audio_features,0OnTigJORDqQCy6rpgZ6OT,spotify:track:0OnTigJORDqQCy6rpgZ6OT,https://api.spotify.com/v1/tracks/0OnTigJORDqQCy6rpgZ6OT,https://api.spotify.com/v1/audio-analysis/0OnTigJORDqQCy6rpgZ6OT,298400,4
0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,audio_features,2rxQMGVafnNaRaXlRMWPde,spotify:track:2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,193200,4
0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,audio_features,1mMLMZYXkMueg65jRRWG1l,spotify:track:1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l,240760,4
0.69,0.74,10,-3.342,1,0.0351,0.447,0.0,0.0858,0.657,125.092,audio_features,2mqaYmF0XmV8egZB6jQOtN,spotify:track:2mqaYmF0XmV8egZB6jQOtN,https://api.spotify.com/v1/tracks/2mqaYmF0XmV8egZB6jQOtN,https://api.spotify.com/v1/audio-analysis/2mqaYmF0XmV8egZB6jQOtN,233415,4
0.8,0.478,9,-9.16,0,0.0739,0.0209,0.158,0.104,0.556,125.031,audio_features,1SxtJ1p2EH3TC8dVzDlN33,spotify:track:1SxtJ1p2EH3TC8dVzDlN33,https://api.spotify.com/v1/tracks/1SxtJ1p2EH3TC8dVzDlN33,https://api.spotify.com/v1/audio-analysis/1SxtJ1p2EH3TC8dVzDlN33,151040,4
0.523,0.666,7,-4.081,0,0.0327,0.401,0.0,0.0728,0.564,78.077,audio_features,0BCy325UZyR9z0t0uxwn2N,spotify:track:0BCy325UZyR9z0t0uxwn2N,https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N,https://api.spotify.com/v1/audio-analysis/0BCy325UZyR9z0t0uxwn2N,194187,4
0.692,0.496,7,-7.332,1,0.0241,0.172,6.42e-06,0.107,0.376,97.945,audio_features,69j0KoPJuwpnbGWrfn7Yll,spotify:track:69j0KoPJuwpnbGWrfn7Yll,https://api.spotify.com/v1/tracks/69j0KoPJuwpnbGWrfn7Yll,https://api.spotify.com/v1/audio-analysis/69j0KoPJuwpnbGWrfn7Yll,298960,4
0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,audio_features,6xHI9KjUjYT0FPtGO8Mxa1,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1,222533,4
0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,audio_features,7zVCrzzEJU7u24sbJPXA5W,spotify:track:7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W,188253,4
0.517,0.606,2,-5.797,1,0.0289,0.0202,0.0,0.324,0.296,141.929,audio_features,0tr6XR58KBdDYd8qvHVTs8,spotify:track:0tr6XR58KBdDYd8qvHVTs8,https://api.spotify.com/v1/tracks/0tr6XR58KBdDYd8qvHVTs8,https://api.spotify.com/v1/audio-analysis/0tr6XR58KBdDYd8qvHVTs8,293040,4
0.679,0.622,2,-7.636,0,0.0487,0.0183,6.81e-05,0.0371,0.281,124.088,audio_features,71UL6pUMZUlU2u10gnhqPf,spotify:track:71UL6pUMZUlU2u10gnhqPf,https://api.spotify.com/v1/tracks/71UL6pUMZUlU2u10gnhqPf,https://api.spotify.com/v1/audio-analysis/71UL6pUMZUlU2u10gnhqPf,174194,4
0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,audio_features,7mldq42yDuxiUNn08nvzHO,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,165387,4
0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693,4
0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,audio_features,6uTb5oNK9RkTjxmh73W7MG,spotify:track:6uTb5oNK9RkTjxmh73W7MG,https://api.spotify.com/v1/tracks/6uTb5oNK9RkTjxmh73W7MG,https://api.spotify.com/v1/audio-analysis/6uTb5oNK9RkTjxmh73W7MG,227427,4
0.543,0.81,0,-4.275,1,0.0368,0.14,1.23e-05,0.145,0.395,76.978,audio_features,0dbzWSYpMcRtwjI1S7Pkql,spotify:track:0dbzWSYpMcRtwjI1S7Pkql,https://api.spotify.com/v1/tracks/0dbzWSYpMcRtwjI1S7Pkql,https://api.spotify.com/v1/audio-analysis/0dbzWSYpMcRtwjI1S7Pkql,278613,4
0.558,0.314,2,-10.623,1,0.0295,0.709,0.000319,0.193,0.267,125.59,audio_features,1nCSr7oGeUv7sUEoYuAJFF,spotify:track:1nCSr7oGeUv7sUEoYuAJFF,https://api.spotify.com/v1/tracks/1nCSr7oGeUv7sUEoYuAJFF,https://api.spotify.com/v1/audio-analysis/1nCSr7oGeUv7sUEoYuAJFF,271280,4
0.661,0.581,1,-8.341,0,0.0298,0.436,8.07e-05,0.113,0.292,134.976,audio_features,2klEWiRhxVFBm0oKc3PZtJ,spotify:track:2klEWiRhxVFBm0oKc3PZtJ,https://api.spotify.com/v1/tracks/2klEWiRhxVFBm0oKc3PZtJ,https://api.spotify.com/v1/audio-analysis/2klEWiRhxVFBm0oKc3PZtJ,178222,4
0.587,0.35,2,-10.954,1,0.0318,0.74,0.0,0.156,0.17,74.479,audio_features,4BXkf6yww23Vdju7E1fUrn,spotify:track:4BXkf6yww23Vdju7E1fUrn,https://api.spotify.com/v1/tracks/4BXkf6yww23Vdju7E1fUrn,https://api.spotify.com/v1/audio-analysis/4BXkf6yww23Vdju7E1fUrn,259453,4
0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.113,0.474,85.028,audio_features,0OWZFobGSIW9GrSlQ9C5pc,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/tracks/0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/audio-analysis/0OWZFobGSIW9GrSlQ9C5pc,205453,4
