danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.69,0.48,10,-7.503,1,0.0816,0.369,0.0,0.0649,0.286,80.025,audio_features,3N2CRRKaJ3CHfDHsRfo8wW,spotify:track:3N2CRRKaJ3CHfDHsRfo8wW,https://api.spotify.com/v1/tracks/3N2CRRKaJ3CHfDHsRfo8wW,https://api.spotify.com/v1/audio-analysis/3N2CRRKaJ3CHfDHsRfo8wW,229526,4
0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,audio_features,0RiRZpuVRbi7oqRdSMwhQY,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY,157560,4
0.669,0.568,10,-6.744,1,0.202,0.333,0.0,0.12,0.175,75.248,audio_features,2FPZXsJSuw84zl99YDh6eZ,spotify:track:2FPZXsJSuw84zl99YDh6eZ,https://api.spotify.com/v1/tracks/2FPZXsJSuw84zl99YDh6eZ,https://api.spotify.com/v1/audio-analysis/2FPZXsJSuw84zl99YDh6eZ,231266,4
0.795,0.574,2,-6.903,0,0.487,0.067,0.0,0.15,0.537,142.053,audio_features,1K5KBOgreBi5fkEHvg5ap3,spotify:track:1K5KBOgreBi5fkEHvg5ap3,https://api.spotify.com/v1/tracks/1K5KBOgreBi5fkEHvg5ap3,https://api.spotify.com/v1/audio-analysis/1K5KBOgreBi5fkEHvg5ap3,237918,4
0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,audio_features,0wwPcA6wtMf6HUMpIRdeP7,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,267067,4
0.821,0.759,8,-8.541,1,0.121,0.247,0.0,0.321,0.962,140.01,audio_features,5RIVoVdkDLEygELLCniZFr,spotify:track:5RIVoVdkDLEygELLCniZFr,https://api.spotify.com/v1/tracks/5RIVoVdkDLEygELLCniZFr,https://api.spotify.com/v1/audio-analysis/5RIVoVdkDLEygELLCniZFr,185143,4
0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,audio_features,7iL6o9tox1zgHpKUfh9vuC,spotify:track:7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/tracks/7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/audio-analysis/7iL6o9tox1zgHpKUfh9vuC,193467,4
0.781,0.526,6,-6.986,0,0.293,0.0633,0.0,0.0457,0.665,94.993,audio_features,6CjtS2JZH9RkDz5UVInsa9,spotify:track:6CjtS2JZH9RkDz5UVInsa9,https://api.spotify.com/v1/tracks/6CjtS2JZH9RkDz5UVInsa9,https://api.spotify.com/v1/audio-analysis/6CjtS2JZH9RkDz5UVInsa9,235613,4
0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,audio_features,7Ie9W94M7OjPoZVV216Xus,spotify:track:7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/tracks/7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/audio-analysis/7Ie9W94M7OjPoZVV216Xus,248133,5
0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,audio_features,3B54sVLJ402zGa6Xm4YGNe,spotify:track:3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,233902,4
0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,audio_features,3a1lNhkSLSkpJE4MSHpDu9,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9,https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9,220293,4
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,198973,4
0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,audio_features,5IaHrVsrferBYDm0bDyABy,spotify:track:5IaHrVsrferBYDm0bDyABy,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,232959,4
