danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.706,0.975,10,-5.58,0,0.0651,0.0505,0.247,0.109,0.319,154.993,audio_features,7F7N0yugLFgKXoEACgtzD8,spotify:track:7F7N0yugLFgKXoEACgtzD8,https://api.spotify.com/v1/tracks/7F7N0yugLFgKXoEACgtzD8,https://api.spotify.com/v1/audio-analysis/7F7N0yugLFgKXoEACgtzD8,147895,4
0.625,0.942,1,-5.739,0,0.0396,0.193,0.693,0.16,0.459,150.001,audio_features,7zyvQ8sb72g4RuwBpcuGUP,spotify:track:7zyvQ8sb72g4RuwBpcuGUP,https://api.spotify.com/v1/tracks/7zyvQ8sb72g4RuwBpcuGUP,https://api.spotify.com/v1/audio-analysis/7zyvQ8sb72g4RuwBpcuGUP,128100,4
0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4
0.67,0.957,10,-5.43,1,0.0435,0.00258,0.211,0.185,0.431,159.985,audio_features,0iB5f04XdJ2tcfhoVkeLV8,spotify:track:0iB5f04XdJ2tcfhoVkeLV8,https://api.spotify.com/v1/tracks/0iB5f04XdJ2tcfhoVkeLV8,https://api.spotify.com/v1/audio-analysis/0iB5f04XdJ2tcfhoVkeLV8,121500,4
0.72,0.847,7,-6.469,1,0.0384,0.00174,0.0623,0.104,0.132,149.954,audio_features,4atLPkcljMp14JBaigYFKC,spotify:track:4atLPkcljMp14JBaigYFKC,https://api.spotify.com/v1/tracks/4atLPkcljMp14JBaigYFKC,https://api.spotify.com/v1/audio-analysis/4atLPkcljMp14JBaigYFKC,236157,4
0.803,0.889,8,-6.545,1,0.0439,0.189,0.653,0.13,0.876,147.983,audio_features,7jQkiAaa4XYYsPH3rcfcWo,spotify:track:7jQkiAaa4XYYsPH3rcfcWo,https://api.spotify.com/v1/tracks/7jQkiAaa4XYYsPH3rcfcWo,https://api.spotify.com/v1/audio-analysis/7jQkiAaa4XYYsPH3rcfcWo,163515,4
0.554,0.968,1,-4.178,1,0.0695,0.0326,4.2e-05,0.304,0.415,74.465,audio_features,17NHXI2CJp7KgdcwcDnRx4,spotify:track:17NHXI2CJp7KgdcwcDnRx4,https://api.spotify.com/v1/tracks/17NHXI2CJp7KgdcwcDnRx4,https://api.spotify.com/v1/audio-analysis/17NHXI2CJp7KgdcwcDnRx4,151590,4
0.921,0.46,6,-9.408,0,0.309,0.00508,0.00353,0.232,0.367,144.934,audio_features,2AHevoDJA7d02hBYywNo4q,spotify:track:2AHevoDJA7d02hBYywNo4q,https://api.spotify.com/v1/tracks/2AHevoDJA7d02hBYywNo4q,https://api.spotify.com/v1/audio-analysis/2AHevoDJA7d02hBYywNo4q,151876,4
0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4
0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,audio_features,3AjSfp5FDvwtMU9XBsbS8j,spotify:track:3AjSfp5FDvwtMU9XBsbS8j,https://api.spotify.com/v1/tracks/3AjSfp5FDvwtMU9XBsbS8j,https://api.spotify.com/v1/audio-analysis/3AjSfp5FDvwtMU9XBsbS8j,139300,4
0.733,0.976,5,-5.305,1,0.045,0.0294,7.12e-05,0.25,0.523,144.989,audio_features,5rL9LobdwAwFch2J8CiosG,spotify:track:5rL9LobdwAwFch2J8CiosG,https://api.spotify.com/v1/tracks/5rL9LobdwAwFch2J8CiosG,https://api.spotify.com/v1/audio-analysis/5rL9LobdwAwFch2J8CiosG,163034,4
0.531,0.882,2,-3.27,1,0.255,0.00409,0.000242,0.227,0.13,75.052,audio_features,35Vnov9yP4UAt5zHr6iQCA,spotify:track:35Vnov9yP4UAt5zHr6iQCA,https://api.spotify.com/v1/tracks/35Vnov9yP4UAt5zHr6iQCA,https://api.spotify.com/v1/audio-analysis/35Vnov9yP4UAt5zHr6iQCA,179200,4
0.611,0.906,9,-8.194,1,0.0638,0.0175,0.603,0.39,0.476,149.989,audio_features,5D8Z0KkFce9ir2yak7uj5C,spotify:track:5D8Z0KkFce9ir2yak7uj5C,https://api.spotify.com/v1/tracks/5D8Z0KkFce9ir2yak7uj5C,https://api.spotify.com/v1/audio-analysis/5D8Z0KkFce9ir2yak7uj5C,191200,4
